,testco_brand,tesco_price,tesco_category,tesco_name,tesco_description,tesco_currency,GTIN,tesco_condition,tesco_sku
69,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 454 Chocolate Brownie Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 454 Chocolate Brownie Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",GBP,03600521286579,10.0,267670851
70,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 4 Natural Dark Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 4 Natural Dark Brown Permanent Hair Dye,GBP,05011408065008,10.0,250037401
71,DERMO EXPERTISE,16.0,Face Cream & Moisturiser,L'oreal Paris Revitalift Laser Renew Cream 50Ml,"L'oreal Paris Revitalift Laser Renew Cream 50Ml. Replumps, refirms, refines. Hyaluronic acid + pro-xylane 3%. Dermatologically tested",GBP,03600522248798,16.0,274708971
72,L'OREAL,2.35,Deodorants,Loreal Men Deodorant Fresh Extreme 50Ml,Loreal Men Deodorant Fresh Extreme 50Ml,GBP,03600521848289,2.35,266793540
73,L'OREAL,20.0,Face Cream & Moisturiser,Lor/P Revlft Spf50+ Anti Ultra Violet Fluid 50Ml,Lor/P Revlft Spf50+ Anti Ultra Violet Fluid 50Ml,GBP,03600524069698,20.0,313735372
74,L'OREAL,2.25,Shower,L'oreal Men Expert Stress Resist Shower Gel 400Ml,L'oreal Men Xprt Stress Resist Shower Gel 400ml ,GBP,03600523881673,2.25,308493249
75,L'OREAL,11.0,Blonde Hair Dye,L'Oreal Paris Casting Natural Gloss 923 Vanilla Lightest Blonde Semi-Permanent Hair Dye,L'Or/CNG 923 Vani Ltst Blonde S/Prmt Hair Dye ,GBP,03600524053840,11.0,314437942
76,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 5.15 Natural Iced Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 5.15 Natural Iced Brown Permanent Hair Dye,GBP,03600521923719,10.0,267626536
77,L'OREAL,11.0,Red Hair Dye,L'Oreal Paris Casting Natural Gloss 553 Spiced Auburn Semi-Permanent Hair Dye,L'Oreal Paris Casting Natural Gloss 553 Spiced Auburn Semi-Permanent Hair Dye,GBP,03600524061487,11.0,314435593
78,L'OREAL MEN,6.0,Shower,L'Oreal Men Expert Hydra Energetic Shower Gel 1 Litre,L'OREAL MEN XPRT HYDRA ENERGETIC SHOWER GEL 1L ,GBP,03600524121853,6.0,315956907
79,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 300 Darkest Brown Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 300 Darkest Brown Semi-Permanent Hair Dye. Transform your hair with a glossy shine in the dark brown finish. Lasts up to 28 shampoos with patented conditioning complex with no ammonia. For all types of hair: Suitable for use on natural, coloured or highlighted",GBP,03600520987699,10.0,261067089
80,L'OREAL,10.0,Brown Hair Dye,L'Oreal Paris Excellence Core 5.11 Ultra Ash Light Brown Permanent Hair Dye,l'OR/P EXCL 5.11 ULTRA ASH LIGHT BROWN HAIR COLR ,GBP,03600523941919,10.0,311781906
81,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference Core 01 Prague Permanent Hair Dye,L'Oreal Paris Preference Core 01 Prague Permanent Hair Dye,GBP,05011408004304,12.0,255317477
82,STUDIO LINE,3.5,Hair Gel & Hair Wax,L'Oreal Paris Studio Line Invisi'Hold Extra Strength Gel 150ml,L'Oreal Paris Studio Line Invisi'Hold Extra Strength Gel 150ml. For more style tips check out www.hairstyle.com. Please check back of pack for up to date ingredients,GBP,03600521637142,3.5,251455895
83,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 5 Natural Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 5 Natural Brown Permanent Hair Dye,GBP,05011408064971,10.0,250037453
84,L'OREAL,12.0,Face Cleansing,L'Oreal Paris Revitalift Clincal Vitamin C Refining Foam Cleanser 150ml,LOR/P REVLFT VIT C REFINING FOAM CLNSR 150ML ,GBP,03600524076078,12.0,315844130
85,L'OREAL,15.0,Face Cream & Moisturiser,L'oreal Paris Age Perfect Rehydrating Eye Cream 15Ml,L'oreal Paris Age Perfect Rehydrating Eye Cream 15Ml. 15ml size. Eye Contour Cream. Tested under ophthalmological control,GBP,03600520070285,15.0,254806107
86,L'OREAL,10.0,Semi Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 500 Medium Brown Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 500 Medium Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",GBP,03600520987743,10.0,260994146
87,L'OREAL,6.5,Smooth & Sleek Shampoo,L'Oreal Paris Elvive Glycolic Gloss Shampoo 200ml,L'Oreal Paris Elvive Glycolic Gloss Shampoo 200ml,GBP,03600524127992,6.5,315572059
88,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference 8L Extreme Platinum Permanent Hair Dye,"L'Oreal Paris Preference 8L Extreme Platinum Permanent Hair Dye. Lightens up to 8 levels. Absolute platinum, lustrous shine. Extreme lightening with brass-defying care",GBP,03600522274469,12.0,275445191
89,L'OREAL MEN,11.35,Skincare,L’Oreal Men Expert Hylrnic/Ac Serum 30Ml,L'OR MEN EXPERT HYLRNIC/AC SERUM 30ML ,GBP,03600524075729,11.35,313738294
90,PREFERENCE,12.0,Red Hair Dye,L'Oreal Paris Preference Core 6.45 Brooklyn Permanent Hair Dye,L'Oreal Paris Preference Core 6.45 Brooklyn Permanent Hair Dye,GBP,03600522483663,12.0,280379198
91,L'OREAL,9.0,Permanent Hair Dye,L'Oreal Paris Preference Vivids 7.43 Copper Permanent Hair Dye,L'OREAL PARIS PREFERENCE COPPER ,GBP,03600524015183,9.0,311254264
92,L'OREAL,6.0,Colour Care & Purple Shampoo,L'oreal Elvive Colour Protect Purple Shampoo 200Ml,L'Oreal Elvive C ,GBP,03600523682768,6.0,302226529
93,L'OREAL,8.0,Hairspray,L'Oreal Paris Elnett Shine Strong Hold 400ml,L'Oreal Paris Elnett Shine Strong Hold 400ml,GBP,03600522239178,8.0,274080496
94,L'OREAL,30.0,Face Serums,L'Oreal Paris Bright Reveal Niacinamide Dark Spot Serum 30ml ,L'Oreal Paris Bright Reveal Niacinamide Dark Spot Serum 30ml ,GBP,03600524119829,30.0,315959858
95,STUDIO LINE,3.5,Hair Gel & Hair Wax,L'Oreal Paris Studio Line Xtreme Hold Gel 150ml,L'Oreal Paris Studio Line Xtreme Hold Gel 150ml. For more style tips check out www.hairstyle.com. Please check back of pack for up to date ingredients,GBP,03600520921068,3.5,261064697
96,L'OREAL,16.0,Face Cream & Moisturiser,L'oreal Paris Revitalift Laser Eye Cream 15Ml,"L'oreal Paris Revitalift Laser Eye Cream 15Ml. Replumps wrinkles, reduces eye bags, firms skin. Pro-xylane + cooling applicator. Suitable for all skin types",GBP,03600522251750,16.0,274709054
97,L'OREAL,6.5,Dry & Damage Hair Repair Shampoo,L'oreal Elvive Bond Repair Shampoo 200ml,L'Or/P Elvive Bond Repair Shampoo 200ml ,GBP,03600524074661,6.5,313609862
98,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference 11.11 Venice Ultra-Light Crystal Blonde Permanent Hair Dye,L'Oreal Paris Preference 11.11 Venice Ultra-Light Crystal Blonde Permanent Hair Dye,GBP,03600523017997,12.0,295035899
99,L'OREAL,6.0,Colour Care & Purple Conditioner,L'oreal Elvive Colour Protect Purple Conditioner 150Ml,L'Oreal Elvive C ,GBP,03600523682836,6.0,302226542
100,L'OREAL,7.0,Brown Hair Dye,L'Oreal Paris Magic Retouch Permanent 4 Dark Brown,L'Or Magic Retouch Prmt 4 Dark Brown ,GBP,03600524043575,7.0,314430068
101,L'OREAL,16.0,Face Serums,L’Oreal Revitalift Laser Retinol Night Serum 30Ml,L’Oreal Revitalift Laser Retinol Night Serum 30Ml,GBP,03600523971954,16.0,311425068
102,L'OREAL MEN,4.5,Skincare,L'oreal Men Expert Magnesium Hypoallergenic Face Wash 100Ml,L'OREAL MEN XPRT MAGNESIUM HYPO FACE WASH 100ML ,GBP,03600524030520,4.5,311272340
103,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 9.1 Natural Light Ash Blonde Permanent Hair Dye,L'Oreal Paris Excellence Creme 9.1 Natural Light Ash Blonde Permanent Hair Dye,GBP,05011408064841,10.0,250746322
104,L'OREAL,8.0,Hair Treatment & Serum,L'oreal Elvive Bond Repair Pre Shampoo 200ml,L'OR/P ELVIVE BOND REPAIR PRE S/POO 200ML ,GBP,03600524074524,8.0,313503635
105,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 6.30 Natural Light Golden Brown Permanent Hair Dye,L'Oreal Paris Excellence Creme 6.30 Natural Light Golden Brown Permanent Hair Dye,GBP,05011408065046,10.0,256386260
106,L'OREAL,10.0,Face Serums,L'oreal Paris Age Perfect Golden Age Night Cream 50Ml,L'oreal Paris Age Perfect Golden Age Night Cream 50Ml,GBP,03600523242641,10.0,297631651
