,testco_brand,tesco_price,tesco_category,tesco_name,tesco_description,tesco_currency,GTIN,tesco_condition,tesco_sku
131,L'OREAL,6.0,Hairspray,L'Oreal Paris Elvive Dream Lengths Heat Slayer Heat Protectant Spray 150ml,L'OR/P ELVIVE HEAT PROTECTANT SPRAY 150ML ,GBP,03600523966776,6.0,311274067
132,L'OREAL,7.5,Face Cream & Moisturiser,L'oreal Paris Revitalift Day Cream 50Ml,L'oreal Paris Revitalift Day Cream 50Ml. 50ml size. For skin type: All Skin Types. L'Oreal,GBP,05011408030501,7.5,250756195
133,L'OREAL,2.5,Face Cleansing,L'oreal Paris Age Perfect Cleansing Milk 200Ml,L'oreal Paris Age Perfect Cleansing Milk 200Ml. Cleanses and smoothes the skin. Enriched with Magnesium + vitamin C. For mature skin,GBP,05011408061567,2.5,252223333
134,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 8 Natural Blonde Permanent Hair Dye,L'Oreal Paris Excellence Creme 8 Natural Blonde Permanent Hair Dye,GBP,05011408064896,10.0,250037643
135,L'OREAL MEN,6.0,Shower,L'Oreal Men Expert 5in1 Pure Carbon Shower Gel 1 Litre,L'OREAL MEN XPRT 5IN1 PURE CARBON SHOWER GEL 1L ,GBP,03600524121815,6.0,316176423
136,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 01 Lightest Natural Blonde Permanent Hair Dye,L'Oreal Paris Excellence Creme 01 Lightest Natural Blonde Permanent Hair Dye,GBP,05011408065077,10.0,252197651
137,ELNETT,2.75,Hairspray,L'Oreal Paris Elnett Normal Hold Hairspray 75ml,L'Oreal Paris Elnett Normal Hold Hairspray 75ml,GBP,00000050991297,2.75,251040395
138,L'OREAL,7.0,Brown Hair Dye,L'Oreal Paris Magic Retouch Permanent 6 Light Brown,L'Oreal Magic Retouch Prmt 6 Light Brown ,GBP,03600524043773,7.0,314432354
139,L'OREAL,7.5,Face Cream & Moisturiser,L'oreal Paris Revitalift Fragrance Free Hydrating Cream 50Ml,L'Oreal Paris Revitalift F/F Hydra Cream 50ml ,GBP,03600523972111,7.5,311215138
140,L'OREAL,7.5,Face Cream & Moisturiser,L'oreal Paris Revitalift Ginseng Glow Day Cream 50Ml,L'oreal Paris Revitalift Ginseng Glow Day Cream 50Ml,GBP,03600523716470,7.5,303718575
141,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference 74 Dublin Mango Copper Permanent Hair Dye,L'Oreal Paris Preference 74 Dublin Mango Copper Permanent Hair Dye,GBP,03600523335671,12.0,295035818
142,L'OREAL,10.0,Permanent Hair Dye,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Brown 75ml,L'Oreal Paris Magic Retouch Instant Root Concealer Spray Dark Brown 75ml,GBP,03600523192694,10.0,291570432
143,L'OREAL,12.5,Face Serums,L'oreal Paris Revitalift Filler Anti Wrinkle Serum 30Ml,L'Oreal Paris Revlft Filler A/W Serum 30ml ,GBP,03600523873845,12.5,309495234
144,L'OREAL,15.0,Face Cream & Moisturiser,L'oreal Paris Age Perfect Rehydrating Night Cream 50Ml,"L'oreal Paris Age Perfect Rehydrating Night Cream 50Ml. Anti-sagging, anti-age spots. Enriched with Soya peptides + melanin-block. For mature skin",GBP,05011408054415,15.0,251551026
145,L'OREAL,3.0,Deodorants,L’Oreal Men Expert Thermic Resist Resist Deo 250Ml,L’Oreal Men Expert Thermic Resist Resist Deo 250Ml,GBP,03600522634133,3.0,284744232
146,L'OREAL,9.0,Permanent Hair Dye,L'Oreal Paris Preference Vivids 9.11 Smokey Grey Permanent Hair Dye,L'OREAL PARIS PREFERENCE SMOKEY GREY ,GBP,03600524015213,9.0,311280177
147,L'OREAL,11.0,Permanent Hair Dye,L'Oreal Paris Excellence Universal Nudes 7U Blonde Permanent Hair Dye,L'OREAL PARIS EXCEL UNIVERSAL NUDES BLONDE ,GBP,03600523999491,11.0,311210973
148,L'OREAL,6.5,Dry & Damage Repair Conditioner,L'oreal Elvive Bond Repair Conditioner 150ml,L'OR/P ELVIVE BOND REPAIR COND 150ML ,GBP,03600524074807,6.5,313605820
